State,CountyName,Metro,RegionName,1 BR Median Price,2 BR Median Price,3 BR Median Price,4 BR Median Price,5+ BR Median Price
CA,San Mateo County,San Francisco-Oakland-Hayward,Daly City,858.3333333333334,1033.3333333333333,1283.3333333333333,0.0,0.0
CA,San Mateo County,San Francisco-Oakland-Hayward,Foster City,1542.5,1773.0,0.0,0.0,0.0
CA,San Mateo County,San Francisco-Oakland-Hayward,Menlo Park,0.0,2048.5,2929.0,0.0,0.0
CA,San Mateo County,San Francisco-Oakland-Hayward,Redwood City,1070.8333333333333,1341.0,1532.5,0.0,0.0
CA,San Mateo County,San Francisco-Oakland-Hayward,San Bruno,1297.5,1657.5,0.0,0.0,0.0
CA,San Mateo County,San Francisco-Oakland-Hayward,San Mateo,906.6666666666666,1204.8333333333333,1600.0,0.0,0.0
CA,Santa Barbara County,Santa Maria-Santa Barbara,Santa Barbara,825.0,1100.0,1595.8333333333333,0.0,0.0
CA,Santa Barbara County,Santa Maria-Santa Barbara,Santa Maria,478.3333333333333,616.6666666666666,738.6666666666666,0.0,0.0
CA,Santa Clara County,San Jose-Sunnyvale-Santa Clara,Campbell,790.0,933.3333333333334,1231.6666666666667,0.0,0.0
CA,Santa Clara County,San Jose-Sunnyvale-Santa Clara,Cupertino,941.6666666666666,1171.0,1324.1666666666667,0.0,0.0
CA,Santa Clara County,San Jose-Sunnyvale-Santa Clara,Los Gatos,1382.0,1820.5,0.0,0.0,0.0
CA,Santa Clara County,San Jose-Sunnyvale-Santa Clara,Milpitas,876.6666666666666,1062.6666666666667,1132.3333333333333,0.0,0.0
CA,Santa Clara County,San Jose-Sunnyvale-Santa Clara,Mountain View,1116.6666666666667,1165.8333333333333,1499.1666666666667,0.0,0.0
CA,Santa Clara County,San Jose-Sunnyvale-Santa Clara,Palo Alto,700.0,1100.0,1498.75,1750.0,0.0
CA,Santa Clara County,San Jose-Sunnyvale-Santa Clara,San Jose,527.0,602.6,700.0,790.0,860.0
CA,Santa Clara County,San Jose-Sunnyvale-Santa Clara,Santa Clara,886.6666666666666,1050.5,1229.6666666666667,0.0,0.0
CA,Santa Clara County,San Jose-Sunnyvale-Santa Clara,Sunnyvale,861.6666666666666,1056.3333333333333,1365.8333333333333,0.0,0.0
CA,Santa Cruz County,Santa Cruz-Watsonville,Santa Cruz,698.1666666666666,908.3333333333334,1266.6666666666667,0.0,0.0
CA,Shasta County,Redding,Redding,0.0,450.0,775.0,0.0,0.0
CA,Solano County,Vallejo-Fairfield,Benicia,0.0,2100.0,0.0,0.0,0.0
CA,Solano County,Vallejo-Fairfield,Fairfield,413.5,460.625,568.125,631.25,0.0
CA,Solano County,Vallejo-Fairfield,Vacaville,624.8333333333334,644.6666666666666,731.6666666666666,0.0,0.0
CA,Solano County,Vallejo-Fairfield,Vallejo,400.0,471.25,575.0,632.5,0.0
CA,Sonoma County,Santa Rosa,Petaluma,0.0,1196.25,1488.0,0.0,0.0
CA,Sonoma County,Santa Rosa,Rohnert Park,646.6666666666666,700.0,900.0,0.0,0.0
CA,Sonoma County,Santa Rosa,Santa Rosa,462.25,550.0,675.0,773.75,0.0
CA,Sonoma County,Santa Rosa,Sonoma,0.0,1150.0,1687.5,0.0,0.0
CA,Stanislaus County,Modesto,Modesto,299.75,327.125,396.25,443.125,0.0
CA,Stanislaus County,Modesto,Turlock,0.0,653.25,810.0,0.0,0.0
CA,Tulare County,Visalia-Porterville,Tulare,0.0,937.5,0.0,0.0,0.0
CA,Tulare County,Visalia-Porterville,Visalia,0.0,498.75,725.0,0.0,0.0
CA,Ventura County,Oxnard-Thousand Oaks-Ventura,Camarillo,730.0,850.0,987.5,0.0,0.0
CA,Ventura County,Oxnard-Thousand Oaks-Ventura,Moorpark,0.0,2245.0,0.0,0.0,0.0
CA,Ventura County,Oxnard-Thousand Oaks-Ventura,Oak Park,0.0,2485.0,0.0,0.0,0.0
CA,Ventura County,Oxnard-Thousand Oaks-Ventura,Oxnard,498.75,584.75,694.25,800.0,0.0
CA,Ventura County,Oxnard-Thousand Oaks-Ventura,Port Hueneme,0.0,1900.0,0.0,0.0,0.0
CA,Ventura County,Oxnard-Thousand Oaks-Ventura,Simi Valley,467.5,536.25,674.375,800.0,0.0
CA,Ventura County,Oxnard-Thousand Oaks-Ventura,Thousand Oaks,517.625,598.75,786.0,961.875,0.0
CA,Ventura County,Oxnard-Thousand Oaks-Ventura,Ventura,583.3333333333334,732.5,950.0,0.0,0.0
CA,Yolo County,Sacramento--Roseville--Arden-Arcade,Davis,477.3333333333333,608.3333333333334,865.8333333333334,0.0,0.0
CA,Yolo County,Sacramento--Roseville--Arden-Arcade,West Sacramento,0.0,1729.0,0.0,0.0,0.0
CO,Adams County,Denver-Aurora-Lakewood,Brighton,0.0,1563.0,0.0,0.0,0.0
